"id","country_id:id","name","code","state_id:id"
city_vn_89,base.vn,An Giang,89,"base.state_vn_VN-44"
city_vn_74,base.vn,Bình Dương,74,"base.state_vn_VN-57"
city_vn_52,base.vn,Bình Định,52,"base.state_vn_VN-31"
city_vn_24,base.vn,Bắc Giang,24,"base.state_vn_VN-54"
city_vn_06,base.vn,Bắc Kạn,06,"base.state_vn_VN-53"
city_vn_95,base.vn,Bạc Liêu,95,"base.state_vn_VN-55"
city_vn_27,base.vn,Bắc Ninh,27,"base.state_vn_VN-56"
city_vn_70,base.vn,Bình Phước,70,"base.state_vn_VN-58"
city_vn_77,base.vn,Bà Rịa - Vũng Tàu,77,"base.state_vn_VN-43"
city_vn_60,base.vn,Bình Thuận,60,"base.state_vn_VN-40"
city_vn_83,base.vn,Bến Tre,83,"base.state_vn_VN-50"
city_vn_04,base.vn,Cao Bằng,04,"base.state_vn_VN-04"
city_vn_96,base.vn,Cà Mau,96,"base.state_vn_VN-59"
city_vn_92,base.vn,TP Cần Thơ,92,"base.state_vn_VN-CT"
city_vn_11,base.vn,Điện Biên,11,"base.state_vn_VN-71"
city_vn_66,base.vn,Đắk Lắk,66,"base.state_vn_VN-33"
city_vn_48,base.vn,TP Đà Nẵng,48,"base.state_vn_VN-DN"
city_vn_75,base.vn,Đồng Nai,75,"base.state_vn_VN-39"
city_vn_67,base.vn,Đắk Nông,67,"base.state_vn_VN-72"
city_vn_87,base.vn,Đồng Tháp,87,"base.state_vn_VN-45"
city_vn_64,base.vn,Gia Lai,64,"base.state_vn_VN-30"
city_vn_17,base.vn,Hoà Bình,17,"base.state_vn_VN-14"
city_vn_79,base.vn,TP Hồ Chí Minh,79,"base.state_vn_VN-SG"
city_vn_30,base.vn,Hải Dương,30,"base.state_vn_VN-61"
city_vn_93,base.vn,Hậu Giang,93,"base.state_vn_VN-73"
city_vn_02,base.vn,Hà Giang,02,"base.state_vn_VN-03"
city_vn_01,base.vn,Hà Nội,01,"base.state_vn_VN-HN"
city_vn_35,base.vn,Hà Nam,35,"base.state_vn_VN-63"
city_vn_31,base.vn,TP Hải Phòng,31,"base.state_vn_VN-HP"
city_vn_42,base.vn,Hà Tĩnh,42,"base.state_vn_VN-23"
city_vn_33,base.vn,Hưng Yên,33,"base.state_vn_VN-66"
city_vn_91,base.vn,Kiên Giang,91,"base.state_vn_VN-47"
city_vn_56,base.vn,Khánh Hòa,56,"base.state_vn_VN-34"
city_vn_62,base.vn,Kon Tum,62,"base.state_vn_VN-28"
city_vn_80,base.vn,Long An,80,"base.state_vn_VN-41"
city_vn_10,base.vn,Lào Cai,10,"base.state_vn_VN-02"
city_vn_12,base.vn,Lai Châu,12,"base.state_vn_VN-01"
city_vn_68,base.vn,Lâm Đồng,68,"base.state_vn_VN-35"
city_vn_20,base.vn,Lạng Sơn,20,"base.state_vn_VN-09"
city_vn_40,base.vn,Nghệ An,40,"base.state_vn_VN-22"
city_vn_37,base.vn,Ninh Bình,37,"base.state_vn_VN-18"
city_vn_36,base.vn,Nam Định,36,"base.state_vn_VN-67"
city_vn_58,base.vn,Ninh Thuận,58,"base.state_vn_VN-36"
city_vn_25,base.vn,Phú Thọ,25,"base.state_vn_VN-68"
city_vn_54,base.vn,Phú Yên,54,"base.state_vn_VN-32"
city_vn_44,base.vn,Quảng Bình,44,"base.state_vn_VN-24"
city_vn_22,base.vn,Quảng Ninh,22,"base.state_vn_VN-13"
city_vn_49,base.vn,Quảng Nam,49,"base.state_vn_VN-27"
city_vn_51,base.vn,Quảng Ngãi,51,"base.state_vn_VN-29"
city_vn_45,base.vn,Quảng Trị,45,"base.state_vn_VN-25"
city_vn_14,base.vn,Sơn La,14,"base.state_vn_VN-05"
city_vn_94,base.vn,Sóc Trăng,94,"base.state_vn_VN-52"
city_vn_34,base.vn,Thái Bình,34,"base.state_vn_VN-20"
city_vn_82,base.vn,Tiền Giang,82,"base.state_vn_VN-46"
city_vn_38,base.vn,Thanh Hóa,38,"base.state_vn_VN-21"
city_vn_19,base.vn,Thái Nguyên,19,"base.state_vn_VN-69"
city_vn_72,base.vn,Tây Ninh,72,"base.state_vn_VN-37"
city_vn_08,base.vn,Tuyên Quang,08,"base.state_vn_VN-07"
city_vn_46,base.vn,Thừa Thiên - Huế,46,"base.state_vn_VN-26"
city_vn_84,base.vn,Trà Vinh,84,"base.state_vn_VN-51"
city_vn_86,base.vn,Vĩnh Long,86,"base.state_vn_VN-49"
city_vn_26,base.vn,Vĩnh Phúc,26,"base.state_vn_VN-70"
city_vn_15,base.vn,Yên Bái,15,"base.state_vn_VN-06"